worker_id,assignment_id,handoff_run_id,source_zip,source_zip_sha256,network_requests,raw_page_count,COMPLETE,ACQUISITION_PARTIAL,NOT_YET_ACQUIRED,ACQUISITION_FAILED,HARD_STOP_REVIEW
worker-01,cafef-expansion-v1-worker-01,run-20260925T073407Z-82048f96,cafef-expansion-v1-worker-01.zip,6267e529acbb6df3c7c10ea13527e80cdc1fc9d6bd0efd91be9836a387373ba9,6269,6269,120,0,0,0,0
worker-02,cafef-expansion-v1-worker-02,run-20260925T081933Z-4506e5a7,cafef-expansion-v1-worker-02.zip,521a851047ce4850ab9c900efd8696b8738c85dc0ce0163c7c0d74e5f27323ed,6154,6154,116,0,0,4,0
worker-03,cafef-expansion-v1-worker-03,run-20260925T084030Z-cc2314fc,cafef-expansion-v1-worker-03.zip,74599201ecf4f3eb1301d2bc777ea0f32cd39b3c0ae6241d7e058a04bb271b49,5611,5611,106,1,12,1,0
worker-04,cafef-expansion-v1-worker-04,run-20260925T125518Z-f0745c9f,cafef-expansion-v1-worker-04.zip,d82238b839a1e3a2019514c5e3ba684b4a4a95c507ddfad03aa917bc87d207bd,753,753,15,1,104,0,0
worker-05,cafef-expansion-v1-worker-05,run-20260925T092604Z-3397f3b7,cafef-expansion-v1-worker-05.zip,44f6e1e1c4141de1f5da2b1267b719a25a40e854444386ef1360907a330370a0,4967,4967,95,1,22,2,0
