local_execution_order,plan_id,worker_id,wave,priority_rank,priority_score,priority_tier,security_id,current_ticker,current_exchange,identity_status,historical_identity_intervals,listing_date,target_start,target_end,history_target_reason,estimated_history_days,estimated_history_years,range_chunk_count,estimated_pages,estimated_requests,complexity_weight,estimated_work_units,required_edge_case,known_evidence_tags
1,cafef-c1-prep-v1,worker_04,1,1,100.0,HIGH,KBS:HOSE:BCM,BCM,HOSE,VERIFIED_TRANSFER,"[{""effective_from"":""2018-07-10"",""effective_to"":""2020-08-30"",""evidence_id"":""EV-BCM-001"",""exchange"":""UPCOM"",""ticker"":""BCM""},{""effective_from"":""2020-08-31"",""effective_to"":null,""evidence_id"":""EV-BCM-001"",""exchange"":""HOSE"",""ticker"":""BCM""}]",2018-02-21,2018-02-21,2026-09-23,IDENTITY_BOUNDARY,2167,8.589,9,112,112,12,124,YES,EXCHANGE_TRANSFER_IDENTITY;REPRESENTATIVE_PILOT_EVIDENCE
2,cafef-c1-prep-v1,worker_04,1,4,100.0,HIGH,VCI:3478,VNM,HOSE,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2006-01-19"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""VNM""}]",2006-01-19,2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,3785,15.004,16,196,196,8,204,YES,CAFEF_EXISTING_EVIDENCE;REPRESENTATIVE_PILOT_EVIDENCE
3,cafef-c1-prep-v1,worker_04,1,6,95.0,HIGH,KBS:HOSE:BVH,BVH,HOSE,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2009-06-25"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""BVH""}]",2009-06-25,2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,3785,15.004,16,196,196,0,196,NO,REPRESENTATIVE_PILOT_EVIDENCE
4,cafef-c1-prep-v1,worker_04,1,19,95.0,HIGH,KBS:HOSE:PNJ,PNJ,HOSE,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2009-03-23"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""PNJ""}]",2009-03-23,2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,3785,15.004,16,196,196,0,196,NO,REPRESENTATIVE_PILOT_EVIDENCE
5,cafef-c1-prep-v1,worker_04,1,22,95.0,HIGH,VCI:177,BID,HOSE,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2014-01-24"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""BID""}]",2014-01-24,2014-01-24,2026-09-23,LISTING_BOUNDARY,3195,12.666,13,165,165,0,165,NO,REPRESENTATIVE_PILOT_EVIDENCE
6,cafef-c1-prep-v1,worker_04,1,24,95.0,HIGH,VCI:2035,DPM,HOSE,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2007-11-05"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""DPM""}]",2007-11-05,2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,3785,15.004,16,196,196,0,196,NO,REPRESENTATIVE_PILOT_EVIDENCE
7,cafef-c1-prep-v1,worker_04,1,26,95.0,HIGH,VCI:2212,GEX,HOSE,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2015-10-26"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""GEX""}]",2015-10-26,2015-10-26,2026-09-23,LISTING_BOUNDARY,2753,10.913,12,143,143,0,143,NO,REPRESENTATIVE_PILOT_EVIDENCE
8,cafef-c1-prep-v1,worker_04,1,28,95.0,HIGH,VCI:2246,HAH,HOSE,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2015-03-11"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""HAH""}]",2015-03-11,2015-03-11,2026-09-23,LISTING_BOUNDARY,2911,11.54,12,151,151,0,151,NO,REPRESENTATIVE_PILOT_EVIDENCE
9,cafef-c1-prep-v1,worker_04,1,33,95.0,HIGH,VCI:2729,NT2,HOSE,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2010-01-22"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""NT2""}]",2010-01-22,2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,3785,15.004,16,196,196,0,196,NO,REPRESENTATIVE_PILOT_EVIDENCE
10,cafef-c1-prep-v1,worker_04,1,39,95.0,HIGH,VCI:57,ACB,HOSE,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2006-11-21"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""ACB""}]",2006-11-21,2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,3785,15.004,16,196,196,0,196,NO,REPRESENTATIVE_PILOT_EVIDENCE
