local_execution_order,plan_id,worker_id,wave,priority_rank,priority_score,priority_tier,security_id,current_ticker,current_exchange,identity_status,historical_identity_intervals,listing_date,target_start,target_end,history_target_reason,estimated_history_days,estimated_history_years,range_chunk_count,estimated_pages,estimated_requests,complexity_weight,estimated_work_units,required_edge_case,known_evidence_tags
1,cafef-c1-prep-v1,worker_05,1,13,95.0,HIGH,KBS:HOSE:GMD,GMD,HOSE,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2002-04-22"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""GMD""}]",2002-04-22,2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,3785,15.004,16,196,196,0,196,NO,REPRESENTATIVE_PILOT_EVIDENCE
2,cafef-c1-prep-v1,worker_05,1,16,95.0,HIGH,KBS:HOSE:MBB,MBB,HOSE,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2011-11-01"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""MBB""}]",2011-11-01,2011-11-01,2026-09-23,LISTING_BOUNDARY,3758,14.897,16,195,195,0,195,NO,REPRESENTATIVE_PILOT_EVIDENCE
3,cafef-c1-prep-v1,worker_05,1,21,95.0,HIGH,VCI:1391,CTG,HOSE,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2009-07-16"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""CTG""}]",2009-07-16,2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,3785,15.004,16,196,196,0,196,NO,REPRESENTATIVE_PILOT_EVIDENCE
4,cafef-c1-prep-v1,worker_05,1,29,95.0,HIGH,VCI:2273,HDB,HOSE,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2018-01-05"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""HDB""}]",2018-01-05,2018-01-05,2026-09-23,LISTING_BOUNDARY,2199,8.717,9,114,114,0,114,NO,REPRESENTATIVE_PILOT_EVIDENCE
5,cafef-c1-prep-v1,worker_05,1,30,95.0,HIGH,VCI:2353,HPG,HOSE,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2007-11-15"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""HPG""}]",2007-11-15,2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,3785,15.004,16,196,196,0,196,NO,REPRESENTATIVE_PILOT_EVIDENCE
6,cafef-c1-prep-v1,worker_05,1,36,95.0,HIGH,VCI:2929,REE,HOSE,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2000-07-28"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""REE""}]",2000-07-28,2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,3785,15.004,16,196,196,0,196,NO,REPRESENTATIVE_PILOT_EVIDENCE
7,cafef-c1-prep-v1,worker_05,1,38,95.0,HIGH,VCI:43,AAA,HOSE,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2016-11-25"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""AAA""}]",2016-11-25,2016-11-25,2026-09-23,LISTING_BOUNDARY,2480,9.829,11,129,129,0,129,NO,REPRESENTATIVE_PILOT_EVIDENCE
8,cafef-c1-prep-v1,worker_05,1,43,85.0,HIGH,KBS:HNX:NTP,NTP,HNX,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2006-12-11"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HNX"",""ticker"":""NTP""}]",2006-12-11,2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,3785,15.004,16,196,196,0,196,NO,REPRESENTATIVE_PILOT_EVIDENCE
9,cafef-c1-prep-v1,worker_05,1,44,85.0,HIGH,KBS:HNX:PVI,PVI,HNX,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2007-08-10"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HNX"",""ticker"":""PVI""}]",2007-08-10,2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,3785,15.004,16,196,196,0,196,NO,REPRESENTATIVE_PILOT_EVIDENCE
10,cafef-c1-prep-v1,worker_05,1,52,75.0,HIGH,KBS:UPCOM:OIL,OIL,UPCOM,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2018-03-07"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""UPCOM"",""ticker"":""OIL""}]",2018-03-07,2018-03-07,2026-09-23,LISTING_BOUNDARY,2157,8.55,9,112,112,0,112,NO,REPRESENTATIVE_PILOT_EVIDENCE
