local_execution_order,plan_id,worker_id,wave,priority_rank,priority_score,priority_tier,security_id,current_ticker,current_exchange,identity_status,historical_identity_intervals,listing_date,target_start,target_end,history_target_reason,estimated_history_days,estimated_history_years,range_chunk_count,estimated_pages,estimated_requests,complexity_weight,estimated_work_units,required_edge_case,known_evidence_tags
1,cafef-c1-prep-v1,worker_03,1,5,95.0,HIGH,KBS:HOSE:ANV,ANV,HOSE,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2007-12-07"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""ANV""}]",2007-12-07,2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,3785,15.004,16,196,196,0,196,NO,REPRESENTATIVE_PILOT_EVIDENCE
2,cafef-c1-prep-v1,worker_03,1,8,95.0,HIGH,KBS:HOSE:DCM,DCM,HOSE,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2015-03-31"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""DCM""}]",2015-03-31,2015-03-31,2026-09-23,LISTING_BOUNDARY,2897,11.486,12,150,150,0,150,NO,REPRESENTATIVE_PILOT_EVIDENCE
3,cafef-c1-prep-v1,worker_03,1,12,95.0,HIGH,KBS:HOSE:GAS,GAS,HOSE,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2012-05-21"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""GAS""}]",2012-05-21,2012-05-21,2026-09-23,LISTING_BOUNDARY,3618,14.344,15,187,187,0,187,NO,REPRESENTATIVE_PILOT_EVIDENCE
4,cafef-c1-prep-v1,worker_03,1,15,95.0,HIGH,KBS:HOSE:KDH,KDH,HOSE,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2010-02-01"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""KDH""}]",2010-02-01,2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,3785,15.004,16,196,196,0,196,NO,REPRESENTATIVE_PILOT_EVIDENCE
5,cafef-c1-prep-v1,worker_03,1,23,95.0,HIGH,VCI:1992,DHG,HOSE,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2006-12-21"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""DHG""}]",2006-12-21,2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,3785,15.004,16,196,196,0,196,NO,REPRESENTATIVE_PILOT_EVIDENCE
6,cafef-c1-prep-v1,worker_03,1,32,95.0,HIGH,VCI:2625,MSN,HOSE,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2009-11-05"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""MSN""}]",2009-11-05,2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,3785,15.004,16,196,196,0,196,NO,REPRESENTATIVE_PILOT_EVIDENCE
7,cafef-c1-prep-v1,worker_03,1,34,95.0,HIGH,VCI:2833,POW,HOSE,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2018-03-06"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""POW""}]",2018-03-06,2018-03-06,2026-09-23,LISTING_BOUNDARY,2158,8.553,9,112,112,0,112,NO,REPRESENTATIVE_PILOT_EVIDENCE
8,cafef-c1-prep-v1,worker_03,1,41,90.0,HIGH,VCI:2888,PVS,HNX,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2007-09-20"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HNX"",""ticker"":""PVS""}]",2007-09-20,2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,3785,15.004,16,196,196,8,204,YES,CAFEF_EXISTING_EVIDENCE;REPRESENTATIVE_PILOT_EVIDENCE
9,cafef-c1-prep-v1,worker_03,1,42,85.0,HIGH,KBS:HNX:IDC,IDC,HNX,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2017-11-24"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HNX"",""ticker"":""IDC""}]",2017-11-24,2017-11-24,2026-09-23,LISTING_BOUNDARY,2228,8.832,10,116,116,0,116,NO,REPRESENTATIVE_PILOT_EVIDENCE
10,cafef-c1-prep-v1,worker_03,1,48,85.0,HIGH,VCI:3219,TNG,HNX,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2007-11-22"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HNX"",""ticker"":""TNG""}]",2007-11-22,2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,3785,15.004,16,196,196,0,196,NO,REPRESENTATIVE_PILOT_EVIDENCE
