priority_rank,security_id,current_ticker,current_exchange,candidate_sources,liquidity_signal,active_frequency_signal,index_market_importance_signal,index_market_importance_value,size_market_cap_signal,exchange_preference_value,identity_confidence_signal,identity_confidence_value,strategic_relevance_signal,strategic_relevance_value,available_weight,priority_score,priority_tier,popularity_signal,research_eligibility_effect
13,KBS:HOSE:GMD,GMD,HOSE,CURRENT_500;REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,100,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,60,40,95.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
14,KBS:HOSE:HCM,HCM,HOSE,CURRENT_500;REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,100,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,60,40,95.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
15,KBS:HOSE:KDH,KDH,HOSE,CURRENT_500;REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,100,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,60,40,95.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
16,KBS:HOSE:MBB,MBB,HOSE,CURRENT_500;REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,100,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,60,40,95.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
17,KBS:HOSE:MWG,MWG,HOSE,CURRENT_500;REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,100,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,60,40,95.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
18,KBS:HOSE:PLX,PLX,HOSE,CURRENT_500;REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,100,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,60,40,95.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
19,KBS:HOSE:PNJ,PNJ,HOSE,CURRENT_500;REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,100,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,60,40,95.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
20,KBS:HOSE:VHC,VHC,HOSE,CURRENT_500;REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,100,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,60,40,95.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
21,VCI:1391,CTG,HOSE,REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,100,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,60,40,95.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
22,VCI:177,BID,HOSE,REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,100,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,60,40,95.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
23,VCI:1992,DHG,HOSE,REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,100,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,60,40,95.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
24,VCI:2035,DPM,HOSE,REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,100,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,60,40,95.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
25,VCI:211,BMP,HOSE,REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,100,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,60,40,95.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
26,VCI:2212,GEX,HOSE,REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,100,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,60,40,95.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
27,VCI:2239,GVR,HOSE,REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,100,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,60,40,95.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
28,VCI:2246,HAH,HOSE,REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,100,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,60,40,95.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
29,VCI:2273,HDB,HOSE,REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,100,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,60,40,95.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
30,VCI:2353,HPG,HOSE,REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,100,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,60,40,95.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
