selection_order,priority_rank,security_id,current_ticker,current_exchange,priority_score,priority_tier,wave,listing_date,identity_status,historical_identity_intervals,target_start,target_end,history_target_reason,required_edge_case,known_evidence_tags,selection_reason,research_eligibility_effect
11,11,KBS:HOSE:FRT,FRT,HOSE,95.0,HIGH,1,2018-04-26,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2018-04-26"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""FRT""}]",2018-04-26,2026-09-23,LISTING_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
12,12,KBS:HOSE:GAS,GAS,HOSE,95.0,HIGH,1,2012-05-21,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2012-05-21"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""GAS""}]",2012-05-21,2026-09-23,LISTING_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
13,13,KBS:HOSE:GMD,GMD,HOSE,95.0,HIGH,1,2002-04-22,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2002-04-22"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""GMD""}]",2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
14,14,KBS:HOSE:HCM,HCM,HOSE,95.0,HIGH,1,2009-05-19,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2009-05-19"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""HCM""}]",2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
15,15,KBS:HOSE:KDH,KDH,HOSE,95.0,HIGH,1,2010-02-01,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2010-02-01"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""KDH""}]",2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
16,16,KBS:HOSE:MBB,MBB,HOSE,95.0,HIGH,1,2011-11-01,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2011-11-01"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""MBB""}]",2011-11-01,2026-09-23,LISTING_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
17,17,KBS:HOSE:MWG,MWG,HOSE,95.0,HIGH,1,2014-07-14,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2014-07-14"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""MWG""}]",2014-07-14,2026-09-23,LISTING_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
18,18,KBS:HOSE:PLX,PLX,HOSE,95.0,HIGH,1,2017-04-21,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2017-04-21"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""PLX""}]",2017-04-21,2026-09-23,LISTING_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
19,19,KBS:HOSE:PNJ,PNJ,HOSE,95.0,HIGH,1,2009-03-23,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2009-03-23"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""PNJ""}]",2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
20,20,KBS:HOSE:VHC,VHC,HOSE,95.0,HIGH,1,2007-12-24,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2007-12-24"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""VHC""}]",2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
21,21,VCI:1391,CTG,HOSE,95.0,HIGH,1,2009-07-16,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2009-07-16"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""CTG""}]",2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
22,22,VCI:177,BID,HOSE,95.0,HIGH,1,2014-01-24,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2014-01-24"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""BID""}]",2014-01-24,2026-09-23,LISTING_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
23,23,VCI:1992,DHG,HOSE,95.0,HIGH,1,2006-12-21,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2006-12-21"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""DHG""}]",2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
24,24,VCI:2035,DPM,HOSE,95.0,HIGH,1,2007-11-05,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2007-11-05"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""DPM""}]",2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
25,25,VCI:211,BMP,HOSE,95.0,HIGH,1,2006-07-11,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2006-07-11"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""BMP""}]",2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
26,26,VCI:2212,GEX,HOSE,95.0,HIGH,1,2015-10-26,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2015-10-26"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""GEX""}]",2015-10-26,2026-09-23,LISTING_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
27,27,VCI:2239,GVR,HOSE,95.0,HIGH,1,2018-03-21,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2018-03-21"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""GVR""}]",2018-03-21,2026-09-23,LISTING_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
28,28,VCI:2246,HAH,HOSE,95.0,HIGH,1,2015-03-11,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2015-03-11"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""HAH""}]",2015-03-11,2026-09-23,LISTING_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
