selection_order,priority_rank,security_id,current_ticker,current_exchange,priority_score,priority_tier,wave,listing_date,identity_status,historical_identity_intervals,target_start,target_end,history_target_reason,required_edge_case,known_evidence_tags,selection_reason,research_eligibility_effect
52,52,KBS:UPCOM:OIL,OIL,UPCOM,75.0,HIGH,1,2018-03-07,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2018-03-07"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""UPCOM"",""ticker"":""OIL""}]",2018-03-07,2026-09-23,LISTING_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
53,53,KBS:UPCOM:QNS,QNS,UPCOM,75.0,HIGH,1,2016-12-20,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2016-12-20"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""UPCOM"",""ticker"":""QNS""}]",2016-12-20,2026-09-23,LISTING_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
54,54,KBS:UPCOM:VEA,VEA,UPCOM,75.0,HIGH,1,2018-07-02,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2018-07-02"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""UPCOM"",""ticker"":""VEA""}]",2018-07-02,2026-09-23,LISTING_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
55,55,KBS:UPCOM:VGI,VGI,UPCOM,75.0,HIGH,1,2018-09-25,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2018-09-25"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""UPCOM"",""ticker"":""VGI""}]",2018-09-25,2026-09-23,LISTING_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
56,56,VCI:2950,SAS,UPCOM,75.0,HIGH,1,2015-04-16,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2015-04-16"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""UPCOM"",""ticker"":""SAS""}]",2015-04-16,2026-09-23,LISTING_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
57,57,PLAN_INPUT_UNRESOLVED:VCB,VCB,HOSE,67.5,MEDIUM,2,,PLAN_INPUT_UNRESOLVED,[],2011-09-23,2026-09-23,PARTIAL_IDENTITY_UNRESOLVED,YES,CAFEF_EXISTING_EVIDENCE;IDENTITY_INPUT_UNRESOLVED,EXISTING_CAFEF_EVIDENCE;REQUIRED_EDGE_CASE,NONE_ACQUISITION_ORDER_ONLY
58,58,KBS:HOSE:LPB,LPB,HOSE,62.5,MEDIUM,2,,VERIFIED_TRANSFER,"[{""effective_from"":""2017-10-05"",""effective_to"":""2020-11-08"",""evidence_id"":""EV-LPB-001"",""exchange"":""UPCOM"",""ticker"":""LPB""},{""effective_from"":""2020-11-09"",""effective_to"":null,""evidence_id"":""EV-LPB-001"",""exchange"":""HOSE"",""ticker"":""LPB""}]",2017-10-05,2026-09-23,IDENTITY_BOUNDARY,YES,EXCHANGE_TRANSFER_IDENTITY,REQUIRED_EDGE_CASE,NONE_ACQUISITION_ORDER_ONLY
59,59,KBS:HOSE:SHB,SHB,HOSE,62.5,MEDIUM,2,,VERIFIED_TRANSFER,"[{""effective_from"":""2009-04-20"",""effective_to"":""2021-10-10"",""evidence_id"":""EV-SHB-001"",""exchange"":""HNX"",""ticker"":""SHB""},{""effective_from"":""2021-10-11"",""effective_to"":null,""evidence_id"":""EV-SHB-001"",""exchange"":""HOSE"",""ticker"":""SHB""}]",2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,YES,EXCHANGE_TRANSFER_IDENTITY,REQUIRED_EDGE_CASE,NONE_ACQUISITION_ORDER_ONLY
60,60,KBS:HOSE:VCG,VCG,HOSE,62.5,MEDIUM,2,,VERIFIED_TRANSFER,"[{""effective_from"":""2008-09-05"",""effective_to"":""2022-01-13"",""evidence_id"":""EV-VCG-001"",""exchange"":""HNX"",""ticker"":""VCG""},{""effective_from"":""2022-01-14"",""effective_to"":null,""evidence_id"":""EV-VCG-001"",""exchange"":""HOSE"",""ticker"":""VCG""}]",2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,YES,EXCHANGE_TRANSFER_IDENTITY,REQUIRED_EDGE_CASE,NONE_ACQUISITION_ORDER_ONLY
61,61,KBS:UPCOM:HND,HND,UPCOM,62.5,MEDIUM,2,,PROVISIONAL_CURRENT_UNIVERSE,[],2011-09-23,2026-09-23,PARTIAL_IDENTITY_UNRESOLVED,YES,CAFEF_EXISTING_EVIDENCE;KNOWN_KBS_MISSING_SESSION;PROVIDER_HISTORY_BOUNDARY_CASE,EXISTING_CAFEF_EVIDENCE;REQUIRED_EDGE_CASE,NONE_ACQUISITION_ORDER_ONLY
62,62,KBS:HOSE:NO1,NO1,HOSE,52.5,NORMAL,3,,PROVISIONAL_CURRENT_UNIVERSE,[],2011-09-23,2026-09-23,PARTIAL_IDENTITY_UNRESOLVED,YES,KNOWN_KBS_MISSING_SESSION;PROVIDER_HISTORY_BOUNDARY_CASE,REQUIRED_EDGE_CASE,NONE_ACQUISITION_ORDER_ONLY
63,63,KBS:HOSE:STK,STK,HOSE,52.5,NORMAL,3,,PROVISIONAL_CURRENT_UNIVERSE,[],2011-09-23,2026-09-23,PARTIAL_IDENTITY_UNRESOLVED,YES,KNOWN_KBS_MISSING_SESSION,REQUIRED_EDGE_CASE,NONE_ACQUISITION_ORDER_ONLY
64,64,KBS:HOSE:TVB,TVB,HOSE,52.5,NORMAL,3,,PROVISIONAL_CURRENT_UNIVERSE,[],2011-09-23,2026-09-23,PARTIAL_IDENTITY_UNRESOLVED,YES,KNOWN_KBS_MISSING_SESSION;PROVIDER_HISTORY_BOUNDARY_CASE,REQUIRED_EDGE_CASE,NONE_ACQUISITION_ORDER_ONLY
65,65,KBS:HNX:IDV,IDV,HNX,42.5,NORMAL,3,,PROVISIONAL_CURRENT_UNIVERSE,[],2011-09-23,2026-09-23,PARTIAL_IDENTITY_UNRESOLVED,YES,CORPORATE_ACTION_WINDOW;KNOWN_KBS_MISSING_SESSION;KNOWN_PRICE_BASIS_DIFFERENCE;PROVIDER_HISTORY_BOUNDARY_CASE,REQUIRED_EDGE_CASE,NONE_ACQUISITION_ORDER_ONLY
66,198,KBS:UPCOM:DDH,DDH,UPCOM,32.5,NORMAL,3,,PROVISIONAL_CURRENT_UNIVERSE,[],2011-09-23,2026-09-23,PARTIAL_IDENTITY_UNRESOLVED,YES,KNOWN_KBS_MISSING_SESSION;PROVIDER_HISTORY_BOUNDARY_CASE,REQUIRED_EDGE_CASE,NONE_ACQUISITION_ORDER_ONLY
67,199,KBS:UPCOM:HLS,HLS,UPCOM,32.5,NORMAL,3,,PROVISIONAL_CURRENT_UNIVERSE,[],2011-09-23,2026-09-23,PARTIAL_IDENTITY_UNRESOLVED,YES,KNOWN_KBS_MISSING_SESSION;PROVIDER_HISTORY_BOUNDARY_CASE,REQUIRED_EDGE_CASE,NONE_ACQUISITION_ORDER_ONLY
68,200,KBS:UPCOM:POM,POM,UPCOM,32.5,NORMAL,3,,PROVISIONAL_CURRENT_UNIVERSE,[],2011-09-23,2026-09-23,PARTIAL_IDENTITY_UNRESOLVED,YES,KNOWN_KBS_MISSING_SESSION;PROVIDER_HISTORY_BOUNDARY_CASE,REQUIRED_EDGE_CASE,NONE_ACQUISITION_ORDER_ONLY
69,201,KBS:UPCOM:SGB,SGB,UPCOM,32.5,NORMAL,3,,PROVISIONAL_CURRENT_UNIVERSE,[],2011-09-23,2026-09-23,PARTIAL_IDENTITY_UNRESOLVED,YES,KNOWN_KBS_MISSING_SESSION;PROVIDER_HISTORY_BOUNDARY_CASE,REQUIRED_EDGE_CASE,NONE_ACQUISITION_ORDER_ONLY
70,202,KBS:UPCOM:UDC,UDC,UPCOM,32.5,NORMAL,3,,PROVISIONAL_CURRENT_UNIVERSE,[],2011-09-23,2026-09-23,PARTIAL_IDENTITY_UNRESOLVED,YES,CORPORATE_ACTION_WINDOW;KNOWN_KBS_MISSING_SESSION;KNOWN_PRICE_BASIS_DIFFERENCE,REQUIRED_EDGE_CASE,NONE_ACQUISITION_ORDER_ONLY
71,203,KBS:UPCOM:VNZ,VNZ,UPCOM,32.5,NORMAL,3,,PROVISIONAL_CURRENT_UNIVERSE,[],2011-09-23,2026-09-23,PARTIAL_IDENTITY_UNRESOLVED,YES,KNOWN_KBS_MISSING_SESSION;PROVIDER_HISTORY_BOUNDARY_CASE,REQUIRED_EDGE_CASE,NONE_ACQUISITION_ORDER_ONLY
