security_id,current_ticker,current_exchange,company_name,sector,listing_date,identity_status,historical_identity_intervals,candidate_sources,known_evidence_tags,required_edge_case,plan_input_status,priority_rank,priority_score,priority_tier
KBS:HOSE:GAS,GAS,HOSE,Tổng Công ty Khí Việt Nam - CTCP,Utilities,2012-05-21,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2012-05-21"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""GAS""}]",CURRENT_500;REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,12,95.0,HIGH
KBS:HOSE:GMD,GMD,HOSE,CTCP Tập đoàn Gemadept,Industrial Goods & Services,2002-04-22,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2002-04-22"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""GMD""}]",CURRENT_500;REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,13,95.0,HIGH
KBS:HOSE:HCM,HCM,HOSE,CTCP Chứng khoán Thành phố Hồ Chí Minh,Financial Services,2009-05-19,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2009-05-19"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""HCM""}]",CURRENT_500;REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,14,95.0,HIGH
KBS:HOSE:KDH,KDH,HOSE,CTCP Đầu tư và Kinh doanh Nhà Khang Điền,Real Estate,2010-02-01,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2010-02-01"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""KDH""}]",CURRENT_500;REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,15,95.0,HIGH
KBS:HOSE:MBB,MBB,HOSE,Ngân hàng TMCP Quân đội,Banks,2011-11-01,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2011-11-01"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""MBB""}]",CURRENT_500;REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,16,95.0,HIGH
KBS:HOSE:MWG,MWG,HOSE,CTCP Đầu tư Thế giới Di động,Retail,2014-07-14,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2014-07-14"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""MWG""}]",CURRENT_500;REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,17,95.0,HIGH
KBS:HOSE:PLX,PLX,HOSE,Tập đoàn Xăng Dầu Việt Nam,Oil & Gas,2017-04-21,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2017-04-21"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""PLX""}]",CURRENT_500;REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,18,95.0,HIGH
KBS:HOSE:PNJ,PNJ,HOSE,CTCP Vàng bạc Đá quý Phú Nhuận,Personal & Household Goods,2009-03-23,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2009-03-23"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""PNJ""}]",CURRENT_500;REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,19,95.0,HIGH
KBS:HOSE:VHC,VHC,HOSE,CTCP Vĩnh Hoàn,Food & Beverage,2007-12-24,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2007-12-24"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""VHC""}]",CURRENT_500;REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,20,95.0,HIGH
VCI:1391,CTG,HOSE,,Banks,2009-07-16,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2009-07-16"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""CTG""}]",REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,21,95.0,HIGH
VCI:177,BID,HOSE,,Banks,2014-01-24,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2014-01-24"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""BID""}]",REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,22,95.0,HIGH
VCI:1992,DHG,HOSE,,Health Care,2006-12-21,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2006-12-21"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""DHG""}]",REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,23,95.0,HIGH
VCI:2035,DPM,HOSE,,Chemicals,2007-11-05,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2007-11-05"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""DPM""}]",REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,24,95.0,HIGH
VCI:211,BMP,HOSE,,Construction & Materials,2006-07-11,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2006-07-11"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""BMP""}]",REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,25,95.0,HIGH
VCI:2212,GEX,HOSE,,Industrial Goods & Services,2015-10-26,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2015-10-26"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""GEX""}]",REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,26,95.0,HIGH
VCI:2239,GVR,HOSE,,Chemicals,2018-03-21,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2018-03-21"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""GVR""}]",REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,27,95.0,HIGH
VCI:2246,HAH,HOSE,,Industrial Goods & Services,2015-03-11,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2015-03-11"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""HAH""}]",REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,28,95.0,HIGH
VCI:2273,HDB,HOSE,,Banks,2018-01-05,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2018-01-05"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""HDB""}]",REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,29,95.0,HIGH
VCI:2353,HPG,HOSE,,Basic Resources,2007-11-15,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2007-11-15"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""HPG""}]",REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,30,95.0,HIGH
VCI:2423,IMP,HOSE,,Health Care,2006-12-04,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2006-12-04"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""IMP""}]",REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,31,95.0,HIGH
VCI:2625,MSN,HOSE,,Food & Beverage,2009-11-05,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2009-11-05"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""MSN""}]",REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,32,95.0,HIGH
VCI:2729,NT2,HOSE,,Utilities,2010-01-22,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2010-01-22"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""NT2""}]",REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,33,95.0,HIGH
VCI:2833,POW,HOSE,,Utilities,2018-03-06,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2018-03-06"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""POW""}]",REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,34,95.0,HIGH
VCI:2878,PVD,HOSE,,Oil & Gas,2006-12-05,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2006-12-05"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""PVD""}]",REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,35,95.0,HIGH
VCI:2929,REE,HOSE,,Utilities,2000-07-28,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2000-07-28"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""REE""}]",REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,36,95.0,HIGH
VCI:3084,SSI,HOSE,,Financial Services,2006-12-15,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2006-12-15"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""SSI""}]",REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,37,95.0,HIGH
VCI:43,AAA,HOSE,,Chemicals,2016-11-25,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2016-11-25"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""AAA""}]",REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,38,95.0,HIGH
VCI:57,ACB,HOSE,,Banks,2006-11-21,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2006-11-21"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""ACB""}]",REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,39,95.0,HIGH
VCI:828,CMG,HOSE,,Technology,2010-01-22,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2010-01-22"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""CMG""}]",REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,40,95.0,HIGH
VCI:2888,PVS,HNX,,Oil & Gas,2007-09-20,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2007-09-20"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HNX"",""ticker"":""PVS""}]",A5_R1_1_CAFEF_EVIDENCE;REPRESENTATIVE_PILOT_55,CAFEF_EXISTING_EVIDENCE;REPRESENTATIVE_PILOT_EVIDENCE,YES,OFFLINE_EVIDENCE_AVAILABLE,41,90.0,HIGH
KBS:HNX:IDC,IDC,HNX,Tổng Công ty IDICO - CTCP,Real Estate,2017-11-24,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2017-11-24"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HNX"",""ticker"":""IDC""}]",CURRENT_500;REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,42,85.0,HIGH
KBS:HNX:NTP,NTP,HNX,CTCP Nhựa Thiếu niên Tiền Phong,Construction & Materials,2006-12-11,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2006-12-11"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HNX"",""ticker"":""NTP""}]",CURRENT_500;REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,43,85.0,HIGH
KBS:HNX:PVI,PVI,HNX,CTCP PVI,Insurance,2007-08-10,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2007-08-10"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HNX"",""ticker"":""PVI""}]",CURRENT_500;REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,44,85.0,HIGH
KBS:HNX:VCS,VCS,HNX,CTCP Vicostone,Construction & Materials,2007-12-17,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2007-12-17"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HNX"",""ticker"":""VCS""}]",CURRENT_500;REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,45,85.0,HIGH
VCI:148,BCC,HNX,,Construction & Materials,2006-11-24,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2006-11-24"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HNX"",""ticker"":""BCC""}]",REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,46,85.0,HIGH
VCI:2503,LAS,HNX,,Chemicals,2012-03-01,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2012-03-01"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HNX"",""ticker"":""LAS""}]",REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,47,85.0,HIGH
VCI:3219,TNG,HNX,,Personal & Household Goods,2007-11-22,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2007-11-22"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HNX"",""ticker"":""TNG""}]",REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,48,85.0,HIGH
KBS:HOSE:KHP,KHP,HOSE,CTCP Điện lực Khánh Hòa,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],A5_R1_1_CAFEF_EVIDENCE;CURRENT_500,CAFEF_EXISTING_EVIDENCE;CORPORATE_ACTION_WINDOW;KNOWN_KBS_MISSING_SESSION;KNOWN_PRICE_BASIS_DIFFERENCE,YES,PARTIAL_IDENTITY_UNRESOLVED,49,82.5,HIGH
