security_id,current_ticker,current_exchange,company_name,sector,listing_date,identity_status,historical_identity_intervals,candidate_sources,known_evidence_tags,required_edge_case,plan_input_status,priority_rank,priority_score,priority_tier
KBS:UPCOM:ACV,ACV,UPCOM,Tổng Công ty Cảng Hàng không Việt Nam - CTCP,Industrial Goods & Services,2016-11-21,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2016-11-21"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""UPCOM"",""ticker"":""ACV""}]",A5_R1_1_CAFEF_EVIDENCE;CURRENT_500;REPRESENTATIVE_PILOT_55,CAFEF_EXISTING_EVIDENCE;REPRESENTATIVE_PILOT_EVIDENCE,YES,OFFLINE_EVIDENCE_AVAILABLE,50,80.0,HIGH
KBS:UPCOM:MPC,MPC,UPCOM,CTCP Tập đoàn Thủy sản Minh Phú,Food & Beverage,2017-10-16,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2017-10-16"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""UPCOM"",""ticker"":""MPC""}]",CURRENT_500;REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,51,75.0,HIGH
KBS:UPCOM:OIL,OIL,UPCOM,Tổng Công ty Dầu Việt Nam - CTCP,Oil & Gas,2018-03-07,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2018-03-07"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""UPCOM"",""ticker"":""OIL""}]",CURRENT_500;REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,52,75.0,HIGH
KBS:UPCOM:QNS,QNS,UPCOM,CTCP Đường Quảng Ngãi,Food & Beverage,2016-12-20,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2016-12-20"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""UPCOM"",""ticker"":""QNS""}]",CURRENT_500;REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,53,75.0,HIGH
KBS:UPCOM:VEA,VEA,UPCOM,Tổng Công ty Máy động lực và Máy nông nghiệp Việt Nam – CTCP,Industrial Goods & Services,2018-07-02,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2018-07-02"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""UPCOM"",""ticker"":""VEA""}]",CURRENT_500;REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,54,75.0,HIGH
KBS:UPCOM:VGI,VGI,UPCOM,Tổng Công ty cổ phần Đầu tư Quốc tế Viettel,Telecommunications,2018-09-25,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2018-09-25"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""UPCOM"",""ticker"":""VGI""}]",CURRENT_500;REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,55,75.0,HIGH
VCI:2950,SAS,UPCOM,,Retail,2015-04-16,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2015-04-16"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""UPCOM"",""ticker"":""SAS""}]",REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,56,75.0,HIGH
PLAN_INPUT_UNRESOLVED:VCB,VCB,HOSE,,SIGNAL_UNAVAILABLE,,PLAN_INPUT_UNRESOLVED,[],A5_R1_1_CAFEF_EVIDENCE,CAFEF_EXISTING_EVIDENCE;IDENTITY_INPUT_UNRESOLVED,YES,PLAN_INPUT_UNRESOLVED,57,67.5,MEDIUM
KBS:HOSE:LPB,LPB,HOSE,Ngân hàng TMCP Lộc Phát Việt Nam,SIGNAL_UNAVAILABLE,,VERIFIED_TRANSFER,"[{""effective_from"":""2017-10-05"",""effective_to"":""2020-11-08"",""evidence_id"":""EV-LPB-001"",""exchange"":""UPCOM"",""ticker"":""LPB""},{""effective_from"":""2020-11-09"",""effective_to"":null,""evidence_id"":""EV-LPB-001"",""exchange"":""HOSE"",""ticker"":""LPB""}]",A6_VERIFIED_TRANSFER;CURRENT_500,EXCHANGE_TRANSFER_IDENTITY,YES,OFFLINE_EVIDENCE_AVAILABLE,58,62.5,MEDIUM
KBS:HOSE:SHB,SHB,HOSE,Ngân hàng TMCP Sài Gòn - Hà Nội,SIGNAL_UNAVAILABLE,,VERIFIED_TRANSFER,"[{""effective_from"":""2009-04-20"",""effective_to"":""2021-10-10"",""evidence_id"":""EV-SHB-001"",""exchange"":""HNX"",""ticker"":""SHB""},{""effective_from"":""2021-10-11"",""effective_to"":null,""evidence_id"":""EV-SHB-001"",""exchange"":""HOSE"",""ticker"":""SHB""}]",A6_VERIFIED_TRANSFER;CURRENT_500,EXCHANGE_TRANSFER_IDENTITY,YES,OFFLINE_EVIDENCE_AVAILABLE,59,62.5,MEDIUM
KBS:HOSE:VCG,VCG,HOSE,Tổng Công ty cổ phần Xuất nhập khẩu và Xây dựng Việt Nam,SIGNAL_UNAVAILABLE,,VERIFIED_TRANSFER,"[{""effective_from"":""2008-09-05"",""effective_to"":""2022-01-13"",""evidence_id"":""EV-VCG-001"",""exchange"":""HNX"",""ticker"":""VCG""},{""effective_from"":""2022-01-14"",""effective_to"":null,""evidence_id"":""EV-VCG-001"",""exchange"":""HOSE"",""ticker"":""VCG""}]",A6_VERIFIED_TRANSFER;CURRENT_500,EXCHANGE_TRANSFER_IDENTITY,YES,OFFLINE_EVIDENCE_AVAILABLE,60,62.5,MEDIUM
KBS:UPCOM:HND,HND,UPCOM,CTCP Nhiệt điện Hải Phòng,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],A5_R1_1_CAFEF_EVIDENCE;CURRENT_500,CAFEF_EXISTING_EVIDENCE;KNOWN_KBS_MISSING_SESSION;PROVIDER_HISTORY_BOUNDARY_CASE,YES,PARTIAL_IDENTITY_UNRESOLVED,61,62.5,MEDIUM
KBS:HOSE:NO1,NO1,HOSE,CTCP Tập đoàn 911,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,KNOWN_KBS_MISSING_SESSION;PROVIDER_HISTORY_BOUNDARY_CASE,YES,PARTIAL_IDENTITY_UNRESOLVED,62,52.5,NORMAL
KBS:HOSE:STK,STK,HOSE,CTCP Sợi Thế Kỷ,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,KNOWN_KBS_MISSING_SESSION,YES,PARTIAL_IDENTITY_UNRESOLVED,63,52.5,NORMAL
KBS:HOSE:TVB,TVB,HOSE,CTCP Chứng khoán T-Cap,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,KNOWN_KBS_MISSING_SESSION;PROVIDER_HISTORY_BOUNDARY_CASE,YES,PARTIAL_IDENTITY_UNRESOLVED,64,52.5,NORMAL
KBS:HNX:IDV,IDV,HNX,CTCP Phát triển Hạ tầng Vĩnh Phúc,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,CORPORATE_ACTION_WINDOW;KNOWN_KBS_MISSING_SESSION;KNOWN_PRICE_BASIS_DIFFERENCE;PROVIDER_HISTORY_BOUNDARY_CASE,YES,PARTIAL_IDENTITY_UNRESOLVED,65,42.5,NORMAL
KBS:HOSE:AAM,AAM,HOSE,CTCP Thủy sản MeKong,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,66,40.0,NORMAL
KBS:HOSE:ACC,ACC,HOSE,CTCP Đầu tư và Xây dựng Bình Dương ACC,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,67,40.0,NORMAL
KBS:HOSE:ACL,ACL,HOSE,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,68,40.0,NORMAL
KBS:HOSE:ADS,ADS,HOSE,CTCP Damsan,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,69,40.0,NORMAL
KBS:HOSE:AGR,AGR,HOSE,CTCP Chứng khoán Agribank,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,70,40.0,NORMAL
KBS:HOSE:AST,AST,HOSE,CTCP Dịch vụ Hàng không Taseco,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,71,40.0,NORMAL
KBS:HOSE:BCE,BCE,HOSE,CTCP Xây dựng và Giao thông Bình Dương,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,72,40.0,NORMAL
KBS:HOSE:BFC,BFC,HOSE,CTCP Phân bón Bình Điền,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,73,40.0,NORMAL
KBS:HOSE:BKG,BKG,HOSE,CTCP Đầu tư BKG Việt Nam,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,74,40.0,NORMAL
KBS:HOSE:CCL,CCL,HOSE,CTCP Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,75,40.0,NORMAL
KBS:HOSE:CHP,CHP,HOSE,CTCP Thủy điện Miền Trung,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,76,40.0,NORMAL
KBS:HOSE:CKG,CKG,HOSE,CTCP Tập đoàn CIC,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,77,40.0,NORMAL
KBS:HOSE:CLC,CLC,HOSE,CTCP Cát Lợi,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,78,40.0,NORMAL
KBS:HOSE:CLW,CLW,HOSE,CTCP Cấp nước Chợ Lớn,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,79,40.0,NORMAL
KBS:HOSE:CMX,CMX,HOSE,CTCP Camimex Group,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,80,40.0,NORMAL
KBS:HOSE:CRE,CRE,HOSE,CTCP Bất động sản Thế Kỷ,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,81,40.0,NORMAL
KBS:HOSE:CTD,CTD,HOSE,CTCP Xây dựng Coteccons,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,82,40.0,NORMAL
KBS:HOSE:CTS,CTS,HOSE,CTCP Chứng khoán VietinBank,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,83,40.0,NORMAL
KBS:HOSE:DAH,DAH,HOSE,CTCP Tập đoàn Khách sạn Đông Á,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,84,40.0,NORMAL
KBS:HOSE:DBC,DBC,HOSE,CTCP Tập đoàn Dabaco Việt Nam,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,85,40.0,NORMAL
KBS:HOSE:DC4,DC4,HOSE,CTCP DICERA Holdings,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,86,40.0,NORMAL
KBS:HOSE:DCL,DCL,HOSE,CTCP Dược phẩm Cửu Long,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,87,40.0,NORMAL
KBS:HOSE:DMC,DMC,HOSE,CTCP Xuất nhập khẩu Y Tế DOMESCO,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,88,40.0,NORMAL
KBS:HOSE:DTA,DTA,HOSE,CTCP Đệ Tam,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,89,40.0,NORMAL
KBS:HOSE:DTT,DTT,HOSE,CTCP Kỹ nghệ Đô Thành,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,90,40.0,NORMAL
KBS:HOSE:DVP,DVP,HOSE,CTCP Đầu tư và Phát triển Cảng Đình Vũ,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,91,40.0,NORMAL
KBS:HOSE:ELC,ELC,HOSE,CTCP Công Nghệ - Viễn Thông Elcom,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,92,40.0,NORMAL
KBS:HOSE:EVE,EVE,HOSE,CTCP Everpia,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,93,40.0,NORMAL
KBS:HOSE:EVF,EVF,HOSE,Công ty Tài chính Tổng hợp Cổ phần Điện lực,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,94,40.0,NORMAL
KBS:HOSE:FDC,FDC,HOSE,CTCP Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,95,40.0,NORMAL
KBS:HOSE:FIR,FIR,HOSE,CTCP Địa ốc First Real,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,96,40.0,NORMAL
KBS:HOSE:FIT,FIT,HOSE,CTCP Tập đoàn F.I.T,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,97,40.0,NORMAL
KBS:HOSE:FMC,FMC,HOSE,CTCP Thực phẩm Sao Ta,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,98,40.0,NORMAL
KBS:HOSE:GDT,GDT,HOSE,CTCP Chế biến Gỗ Đức Thành,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,99,40.0,NORMAL
KBS:HOSE:GEG,GEG,HOSE,CTCP Điện Gia Lai,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,100,40.0,NORMAL
KBS:HOSE:GHC,GHC,HOSE,CTCP Thủy điện Gia Lai,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,101,40.0,NORMAL
KBS:HOSE:GMH,GMH,HOSE,CTCP Minh Hưng Quảng Trị,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,102,40.0,NORMAL
KBS:HOSE:GTA,GTA,HOSE,CTCP Chế biến gỗ Thuận An,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,103,40.0,NORMAL
KBS:HOSE:HAR,HAR,HOSE,CTCP Đầu tư Thương mại Bất động sản An Dương Thảo Điền,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,104,40.0,NORMAL
KBS:HOSE:HAS,HAS,HOSE,CTCP Hacisco,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,105,40.0,NORMAL
KBS:HOSE:HAX,HAX,HOSE,CTCP Dịch vụ Ô tô Hàng Xanh,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,106,40.0,NORMAL
KBS:HOSE:HDC,HDC,HOSE,CTCP Phát triển Nhà Bà Rịa - Vũng Tàu,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,107,40.0,NORMAL
KBS:HOSE:HHP,HHP,HOSE,CTCP HHP Global,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,108,40.0,NORMAL
KBS:HOSE:HHV,HHV,HOSE,CTCP Đầu tư Hạ tầng Giao thông Đèo Cả,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,109,40.0,NORMAL
KBS:HOSE:HID,HID,HOSE,CTCP Halcom Việt Nam,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,110,40.0,NORMAL
KBS:HOSE:HQC,HQC,HOSE,CTCP Tư vấn Thương mại Dịch vụ Địa Ốc Hoàng Quân,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,111,40.0,NORMAL
KBS:HOSE:HRC,HRC,HOSE,CTCP Cao su Hòa Bình,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,112,40.0,NORMAL
KBS:HOSE:HTG,HTG,HOSE,Tổng Công ty cổ phần Dệt may Hòa Thọ,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,113,40.0,NORMAL
KBS:HOSE:HTN,HTN,HOSE,CTCP Hưng Thịnh Incons,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,114,40.0,NORMAL
KBS:HOSE:HTV,HTV,HOSE,CTCP Logistics Vicem,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,115,40.0,NORMAL
KBS:HOSE:HU1,HU1,HOSE,CTCP Đầu tư và Xây dựng HUD1,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,116,40.0,NORMAL
KBS:HOSE:HUB,HUB,HOSE,CTCP Xây lắp Thừa Thiên Huế,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,117,40.0,NORMAL
KBS:HOSE:ITC,ITC,HOSE,CTCP Đầu tư và Kinh doanh Nhà,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,118,40.0,NORMAL
KBS:HOSE:ITD,ITD,HOSE,CTCP Công nghệ ITD,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,119,40.0,NORMAL
KBS:HOSE:JVC,JVC,HOSE,CTCP Đầu tư và Phát triển Y tế Việt Nhật,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,120,40.0,NORMAL
KBS:HOSE:KBC,KBC,HOSE,Tổng Công ty Phát triển Đô thị Kinh Bắc - CTCP,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,121,40.0,NORMAL
KBS:HOSE:KLB,KLB,HOSE,Ngân hàng TMCP Kiên Long,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,122,40.0,NORMAL
KBS:HOSE:KMR,KMR,HOSE,CTCP Mirae,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,123,40.0,NORMAL
KBS:HOSE:KSB,KSB,HOSE,CTCP Khoáng sản và Xây dựng Bình Dương,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,124,40.0,NORMAL
KBS:HOSE:L10,L10,HOSE,CTCP Lilama 10,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,125,40.0,NORMAL
KBS:HOSE:LAF,LAF,HOSE,CTCP Chế biến hàng Xuất khẩu Long An,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,126,40.0,NORMAL
KBS:HOSE:LDG,LDG,HOSE,CTCP Đầu tư LDG,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,127,40.0,NORMAL
KBS:HOSE:LGL,LGL,HOSE,CTCP Đầu tư và Phát triển Đô thị Long Giang,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,128,40.0,NORMAL
KBS:HOSE:LHG,LHG,HOSE,CTCP Long Hậu,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,129,40.0,NORMAL
KBS:HOSE:LIX,LIX,HOSE,CTCP Bột Giặt Lix,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,130,40.0,NORMAL
KBS:HOSE:LM8,LM8,HOSE,CTCP Lilama 18,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,131,40.0,NORMAL
KBS:HOSE:LSS,LSS,HOSE,CTCP Mía Đường Lam Sơn,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,132,40.0,NORMAL
KBS:HOSE:MCH,MCH,HOSE,CTCP Hàng tiêu dùng Masan,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,133,40.0,NORMAL
KBS:HOSE:MCM,MCM,HOSE,CTCP Giống Bò sữa Mộc Châu,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,134,40.0,NORMAL
KBS:HOSE:MCP,MCP,HOSE,CTCP In và Bao bì Mỹ Châu,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,135,40.0,NORMAL
KBS:HOSE:MSH,MSH,HOSE,CTCP May Sông Hồng,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,136,40.0,NORMAL
KBS:HOSE:NAF,NAF,HOSE,CTCP Nafoods Group,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,137,40.0,NORMAL
KBS:HOSE:NAV,NAV,HOSE,CTCP Nam Việt,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,138,40.0,NORMAL
KBS:HOSE:NNC,NNC,HOSE,CTCP Đá Núi Nhỏ,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,139,40.0,NORMAL
KBS:HOSE:NTC,NTC,HOSE,CTCP Khu Công nghiệp Nam Tân Uyên,SIGNAL_UNAVAILABLE,,PROVISIONAL_CURRENT_UNIVERSE,[],CURRENT_500,,NO,PARTIAL_IDENTITY_UNRESOLVED,140,40.0,NORMAL
