local_execution_order,plan_id,worker_id,wave,priority_rank,priority_score,priority_tier,security_id,current_ticker,current_exchange,identity_status,historical_identity_intervals,listing_date,target_start,target_end,history_target_reason,estimated_history_days,estimated_history_years,range_chunk_count,estimated_pages,estimated_requests,complexity_weight,estimated_work_units,required_edge_case,known_evidence_tags
1,cafef-c1-prep-v1,worker_01,1,7,95.0,HIGH,KBS:HOSE:CII,CII,HOSE,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2006-05-18"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""CII""}]",2006-05-18,2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,3785,15.004,16,196,196,0,196,NO,REPRESENTATIVE_PILOT_EVIDENCE
2,cafef-c1-prep-v1,worker_01,1,9,95.0,HIGH,KBS:HOSE:DGC,DGC,HOSE,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2014-08-26"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""DGC""}]",2014-08-26,2014-08-26,2026-09-23,LISTING_BOUNDARY,3047,12.08,13,158,158,0,158,NO,REPRESENTATIVE_PILOT_EVIDENCE
3,cafef-c1-prep-v1,worker_01,1,11,95.0,HIGH,KBS:HOSE:FRT,FRT,HOSE,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2018-04-26"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""FRT""}]",2018-04-26,2018-04-26,2026-09-23,LISTING_BOUNDARY,2122,8.414,9,110,110,0,110,NO,REPRESENTATIVE_PILOT_EVIDENCE
4,cafef-c1-prep-v1,worker_01,1,17,95.0,HIGH,KBS:HOSE:MWG,MWG,HOSE,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2014-07-14"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""MWG""}]",2014-07-14,2014-07-14,2026-09-23,LISTING_BOUNDARY,3077,12.197,13,159,159,0,159,NO,REPRESENTATIVE_PILOT_EVIDENCE
5,cafef-c1-prep-v1,worker_01,1,18,95.0,HIGH,KBS:HOSE:PLX,PLX,HOSE,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2017-04-21"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""PLX""}]",2017-04-21,2017-04-21,2026-09-23,LISTING_BOUNDARY,2378,9.427,10,123,123,0,123,NO,REPRESENTATIVE_PILOT_EVIDENCE
6,cafef-c1-prep-v1,worker_01,1,20,95.0,HIGH,KBS:HOSE:VHC,VHC,HOSE,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2007-12-24"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""VHC""}]",2007-12-24,2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,3785,15.004,16,196,196,0,196,NO,REPRESENTATIVE_PILOT_EVIDENCE
7,cafef-c1-prep-v1,worker_01,1,25,95.0,HIGH,VCI:211,BMP,HOSE,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2006-07-11"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""BMP""}]",2006-07-11,2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,3785,15.004,16,196,196,0,196,NO,REPRESENTATIVE_PILOT_EVIDENCE
8,cafef-c1-prep-v1,worker_01,1,35,95.0,HIGH,VCI:2878,PVD,HOSE,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2006-12-05"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""PVD""}]",2006-12-05,2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,3785,15.004,16,196,196,0,196,NO,REPRESENTATIVE_PILOT_EVIDENCE
9,cafef-c1-prep-v1,worker_01,1,40,95.0,HIGH,VCI:828,CMG,HOSE,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2010-01-22"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""CMG""}]",2010-01-22,2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,3785,15.004,16,196,196,0,196,NO,REPRESENTATIVE_PILOT_EVIDENCE
10,cafef-c1-prep-v1,worker_01,1,49,82.5,HIGH,KBS:HOSE:KHP,KHP,HOSE,PROVISIONAL_CURRENT_UNIVERSE,[],,2011-09-23,2026-09-23,PARTIAL_IDENTITY_UNRESOLVED,3785,15.004,16,196,196,14,210,YES,CAFEF_EXISTING_EVIDENCE;CORPORATE_ACTION_WINDOW;KNOWN_KBS_MISSING_SESSION;KNOWN_PRICE_BASIS_DIFFERENCE
11,cafef-c1-prep-v1,worker_01,1,50,80.0,HIGH,KBS:UPCOM:ACV,ACV,UPCOM,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2016-11-21"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""UPCOM"",""ticker"":""ACV""}]",2016-11-21,2016-11-21,2026-09-23,LISTING_BOUNDARY,2482,9.84,11,129,129,8,137,YES,CAFEF_EXISTING_EVIDENCE;REPRESENTATIVE_PILOT_EVIDENCE
12,cafef-c1-prep-v1,worker_01,2,57,67.5,MEDIUM,PLAN_INPUT_UNRESOLVED:VCB,VCB,HOSE,PLAN_INPUT_UNRESOLVED,[],,2011-09-23,2026-09-23,PARTIAL_IDENTITY_UNRESOLVED,3785,15.004,16,196,196,14,210,YES,CAFEF_EXISTING_EVIDENCE;IDENTITY_INPUT_UNRESOLVED
