blocker,primary_security_count,security_count
INSUFFICIENT_THREE_YEAR_HISTORY,17,34
INSUFFICIENT_LATEST253_REAL_OBSERVATIONS,29,30
MISSING_REQUIRED_FEATURES,0,30
IDENTITY_OR_PROVIDER_BOUNDARY,0,16
CALENDAR_UNCERTAIN,0,14
METADATA_WINDOW_CONSTRAINT,0,1
NO_FEATURE_SNAPSHOT_AT_COMPARISON_DATE,1,1
