security_id,ticker,exchange,candidate_source,market_feature_ready_v2,latest253_complete,trading_activity_status,tradability_eligible,historical_identity_ready,research_ready,full_history_status
KBS:HOSE:TTE,TTE,HOSE,C7_COMPLETE_EXPANSION,True,True,OBSERVED_ZERO_VOLUME,False,False,False,INCOMPLETE
KBS:UPCOM:TTG,TTG,UPCOM,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HNX:TTH,TTH,HNX,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:UPCOM:TTS,TTS,UPCOM,C5_BASELINE_500,True,True,OBSERVED_ZERO_VOLUME,False,False,False,INCOMPLETE
KBS:HNX:TTT,TTT,HNX,C5_BASELINE_500,True,True,OBSERVED_ZERO_VOLUME,False,False,False,INCOMPLETE
KBS:UPCOM:TUG,TUG,UPCOM,C5_BASELINE_500,True,True,OBSERVED_ZERO_VOLUME,False,False,False,INCOMPLETE
KBS:UPCOM:TV1,TV1,UPCOM,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HOSE:TV2,TV2,HOSE,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HNX:TV3,TV3,HNX,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HOSE:TVB,TVB,HOSE,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HNX:TVC,TVC,HNX,C7_COMPLETE_EXPANSION,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HNX:TVD,TVD,HNX,C7_COMPLETE_EXPANSION,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:UPCOM:TVN,TVN,UPCOM,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HOSE:TVS,TVS,HOSE,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HOSE:TVT,TVT,HOSE,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:UPCOM:UDC,UDC,UPCOM,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HOSE:UIC,UIC,HOSE,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HNX:UNI,UNI,HNX,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:UPCOM:USC,USC,UPCOM,C5_BASELINE_500,True,True,OBSERVED_ZERO_VOLUME,False,False,False,INCOMPLETE
KBS:HNX:V12,V12,HNX,C5_BASELINE_500,True,True,OBSERVED_ZERO_VOLUME,False,False,False,INCOMPLETE
