candidate_source,candidate_count,feature_complete,market_ready,latest253_complete,latest253_incomplete,ACTIVE,OBSERVED_ZERO_VOLUME,UNKNOWN,market_readiness_rate
C5_BASELINE_500,500,490,490,490,10,381,119,0,98.0
C7_COMPLETE_EXPANSION,452,432,415,432,20,294,157,1,91.814159
