funnel,stage,count,denominator
market_foundation,candidate,952,952
market_foundation,feature_complete,922,952
market_foundation,market_ready,905,952
expansion_acquisition,selected,600,600
expansion_acquisition,complete,452,600
expansion_acquisition,deferred,148,600
