feature,available,missing,available_percentage,denominator,snapshot_date
mom_21,949,3,99.684874,952,2026-08-28
mom_63,946,6,99.369748,952,2026-08-28
mom_126,938,14,98.529412,952,2026-08-28
mom_252,922,30,96.848739,952,2026-08-28
vol_63,946,6,99.369748,952,2026-08-28
mdd_126,938,14,98.529412,952,2026-08-28
beta_126,938,14,98.529412,952,2026-08-28
liquidity_21,949,3,99.684874,952,2026-08-28
