snapshot_date,security_id,candidate_source,market_experiment_eligible
2026-08-28,KBS:HNX:IDV,C5_BASELINE_500,True
2026-08-28,KBS:HNX:INC,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:INN,C5_BASELINE_500,True
2026-08-28,KBS:HNX:IPA,C5_BASELINE_500,True
2026-08-28,KBS:HNX:IVS,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:KDM,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:KHS,C5_BASELINE_500,True
2026-08-28,KBS:HNX:KKC,C5_BASELINE_500,True
2026-08-28,KBS:HNX:KSD,C5_BASELINE_500,True
2026-08-28,KBS:HNX:KSF,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:KST,C5_BASELINE_500,True
2026-08-28,KBS:HNX:KSV,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:KTS,C5_BASELINE_500,True
2026-08-28,KBS:HNX:L14,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:L18,C5_BASELINE_500,True
2026-08-28,KBS:HNX:LBE,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:LCD,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:LDP,C5_BASELINE_500,True
2026-08-28,KBS:HNX:LHC,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:LIG,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:MAC,C5_BASELINE_500,True
2026-08-28,KBS:HNX:MAS,C5_BASELINE_500,True
2026-08-28,KBS:HNX:MBG,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:MCC,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:MCF,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:MCO,C5_BASELINE_500,True
2026-08-28,KBS:HNX:MDC,C5_BASELINE_500,True
2026-08-28,KBS:HNX:MED,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:MIC,C5_BASELINE_500,True
2026-08-28,KBS:HNX:MKV,C5_BASELINE_500,True
2026-08-28,KBS:HNX:MST,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:MVB,C5_BASELINE_500,True
2026-08-28,KBS:HNX:NAG,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:NAP,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:NBP,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:NBW,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:NDN,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:NET,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:NFC,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:NHC,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:NRC,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:NSH,C5_BASELINE_500,True
2026-08-28,KBS:HNX:NST,C5_BASELINE_500,True
2026-08-28,KBS:HNX:NTH,C5_BASELINE_500,True
2026-08-28,KBS:HNX:NTP,C5_BASELINE_500,True
2026-08-28,KBS:HNX:NVB,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:ONE,C5_BASELINE_500,True
2026-08-28,KBS:HNX:PBP,C5_BASELINE_500,True
2026-08-28,KBS:HNX:PCE,C5_BASELINE_500,True
2026-08-28,KBS:HNX:PCH,C5_BASELINE_500,True
2026-08-28,KBS:HNX:PCT,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:PDB,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:PEN,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:PGN,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:PGS,C5_BASELINE_500,True
2026-08-28,KBS:HNX:PGT,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:PHN,C5_BASELINE_500,True
2026-08-28,KBS:HNX:PIA,C5_BASELINE_500,True
2026-08-28,KBS:HNX:PIC,C5_BASELINE_500,True
2026-08-28,KBS:HNX:PJC,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:PLC,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:PMB,C5_BASELINE_500,True
2026-08-28,KBS:HNX:PMC,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:PMP,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:PMS,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:POT,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:PPE,C5_BASELINE_500,True
2026-08-28,KBS:HNX:PPP,C5_BASELINE_500,True
2026-08-28,KBS:HNX:PPS,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:PPT,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:PPY,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:PRC,C5_BASELINE_500,True
2026-08-28,KBS:HNX:PRE,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:PSD,C5_BASELINE_500,True
2026-08-28,KBS:HNX:PSE,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:PSI,C5_BASELINE_500,True
2026-08-28,KBS:HNX:PSW,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:PTD,C5_BASELINE_500,True
2026-08-28,KBS:HNX:PTS,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:PTX,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:PV2,C5_BASELINE_500,True
2026-08-28,KBS:HNX:PVB,C5_BASELINE_500,True
2026-08-28,KBS:HNX:PVC,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:PVG,C5_BASELINE_500,True
2026-08-28,KBS:HNX:PVI,C5_BASELINE_500,True
2026-08-28,KBS:HNX:QST,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:QTC,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:S55,C5_BASELINE_500,True
2026-08-28,KBS:HNX:S99,C5_BASELINE_500,True
2026-08-28,KBS:HNX:SAF,C5_BASELINE_500,True
2026-08-28,KBS:HNX:SCG,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:SCI,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:SD5,C5_BASELINE_500,True
2026-08-28,KBS:HNX:SD9,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:SDG,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:SDN,C7_COMPLETE_EXPANSION,True
