calinski_harabasz,cluster_balance,cluster_sizes,converged,davies_bouldin,inertia,k,silhouette,snapshot_date
11.294115684177994,0.5,"{""0"": 8, ""1"": 4}",True,0.7597919319427937,16.904229344588867,2,0.4327272417178532,2025-01-31
21.123993438212533,0.6,"{""0"": 5, ""1"": 4, ""2"": 3}",True,0.5658760429754688,6.321507896011142,3,0.523741595873712,2025-01-31
17.992059734523863,0.5,"{""0"": 2, ""1"": 4, ""2"": 3, ""3"": 3}",True,0.7101737478602774,4.646438290856209,4,0.410462898202127,2025-01-31
16.8681333960843,0.3333333333333333,"{""0"": 3, ""1"": 3, ""2"": 3, ""3"": 2, ""4"": 1}",True,0.5834656280112019,3.383427668209211,5,0.34954791380298655,2025-01-31
17.211189800191995,0.3333333333333333,"{""0"": 1, ""1"": 1, ""2"": 3, ""3"": 3, ""4"": 1, ""5"": 3}",True,0.3643051713946025,2.3461424435163742,6,0.29234611135084254,2025-01-31
21.10826369500309,0.3333333333333333,"{""0"": 1, ""1"": 3, ""2"": 1, ""3"": 2, ""4"": 2, ""5"": 2, ""6"": 1}",True,0.39376131781935364,1.3671164362325183,7,0.3344416174910702,2025-01-31
30.502517111528316,0.5,"{""0"": 2, ""1"": 1, ""2"": 2, ""3"": 1, ""4"": 1, ""5"": 2, ""6"": 2, ""7"": 1}",True,0.3355588892457383,0.6619429094129751,8,0.33380439084325075,2025-01-31
37.04990247525415,0.5,"{""0"": 2, ""1"": 1, ""2"": 2, ""3"": 1, ""4"": 1, ""5"": 2, ""6"": 1, ""7"": 1, ""8"": 1}",True,0.26266194113903624,0.36068291906728667,9,0.2775457614822522,2025-01-31
99.5819026511348,0.5,"{""0"": 2, ""1"": 1, ""2"": 2, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1, ""8"": 1, ""9"": 1}",True,0.11747034758197891,0.0801482382889287,10,0.21848370270043388,2025-01-31
10.064063468964928,0.7142857142857143,"{""0"": 5, ""1"": 7}",True,0.8817885141535918,17.941281255862503,2,0.3811325016183046,2025-02-28
24.243541558210318,1.0,"{""0"": 4, ""1"": 4, ""2"": 4}",True,0.500954356650088,5.6356573979036595,3,0.5626309467222523,2025-02-28
20.195071627621136,0.25,"{""0"": 4, ""1"": 3, ""2"": 1, ""3"": 4}",True,0.4262392972820942,4.198864218149371,4,0.4336731318287133,2025-02-28
19.148569019462794,0.25,"{""0"": 2, ""1"": 3, ""2"": 1, ""3"": 4, ""4"": 2}",True,0.5136443200147961,3.0143511721765797,5,0.35977449475033135,2025-02-28
22.92112491093841,0.3333333333333333,"{""0"": 3, ""1"": 2, ""2"": 2, ""3"": 2, ""4"": 2, ""5"": 1}",True,0.533091460773593,1.7908369057975493,6,0.37358962049674027,2025-02-28
30.291974714919913,0.5,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 1, ""4"": 2, ""5"": 2, ""6"": 1}",True,0.4225867014453306,0.9637789642491531,7,0.4040986892485943,2025-02-28
33.42138294410235,0.5,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 2}",True,0.31922279105241796,0.6051279495921957,8,0.3379860310885549,2025-02-28
36.73840372487157,0.5,"{""0"": 1, ""1"": 2, ""2"": 1, ""3"": 2, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1, ""8"": 2}",True,0.23372896155596,0.36372472917810555,9,0.29027286284914255,2025-02-28
52.60099013168746,0.5,"{""0"": 1, ""1"": 2, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1, ""8"": 2, ""9"": 1}",True,0.15892671417293822,0.15143805568758228,10,0.19588309675075233,2025-02-28
11.61578148240256,0.7142857142857143,"{""0"": 5, ""1"": 7}",True,0.8562753400043481,16.65210665639096,2,0.414133315185196,2025-03-31
20.35487409168315,0.6,"{""0"": 4, ""1"": 3, ""2"": 5}",True,0.546521321407029,6.516900219260967,3,0.525871347532325,2025-03-31
26.334812535770794,0.5,"{""0"": 3, ""1"": 2, ""2"": 4, ""3"": 3}",True,0.5597501366164843,3.309700595556343,4,0.5116188740528552,2025-03-31
23.96930521493871,0.25,"{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 2, ""4"": 4}",True,0.4592713415101864,2.4491700591118217,5,0.4133145380610604,2025-03-31
22.98144299719563,0.3333333333333333,"{""0"": 1, ""1"": 2, ""2"": 1, ""3"": 3, ""4"": 2, ""5"": 3}",True,0.3972030578638011,1.7862373163485008,6,0.3694556328520194,2025-03-31
25.063254208921975,0.3333333333333333,"{""0"": 1, ""1"": 2, ""2"": 1, ""3"": 2, ""4"": 2, ""5"": 3, ""6"": 1}",True,0.3592135985830001,1.158287419526101,7,0.3401032053405138,2025-03-31
26.272210436897595,0.3333333333333333,"{""0"": 1, ""1"": 1, ""2"": 2, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 2, ""7"": 3}",True,0.29845829315541966,0.7662327080692577,8,0.2523910074798942,2025-03-31
31.14641484953013,0.5,"{""0"": 1, ""1"": 2, ""2"": 2, ""3"": 1, ""4"": 2, ""5"": 1, ""6"": 1, ""7"": 1, ""8"": 1}",True,0.29437344802105053,0.4282187606716521,9,0.24053139814247,2025-03-31
