benchmark_return,cash_fraction,cost,date,drawdown,gross_nav,gross_return,net_nav,net_return,turnover,weights
0.0,1.0,4.1359030627651384e-25,2024-02-01,0.0,1.0,0.0,1.0,0.0,0.0,{}
-0.0004006751803038444,1.0,0.0,2024-02-02,0.0,1.0,0.0,1.0,0.0,0.0,{}
0.011521896720822156,1.0,0.0,2024-02-05,0.0,1.0,0.0,1.0,0.0,0.0,{}
0.0020403689526669044,1.0,0.0,2024-02-06,0.0,1.0,0.0,1.0,0.0,0.0,{}
0.008456179321486124,1.0,0.0,2024-02-07,0.0,1.0,0.0,1.0,0.0,0.0,{}
0.00331239101232339,1.0,0.0,2024-02-15,0.0,1.0,0.0,1.0,0.0,0.0,{}
0.0059875259875259434,1.0,0.0,2024-02-16,0.0,1.0,0.0,1.0,0.0,0.0,{}
0.012622964371331813,1.0,0.0,2024-02-19,0.0,1.0,0.0,1.0,0.0,0.0,{}
0.0041552038009093906,1.0,0.0,2024-02-20,0.0,1.0,0.0,1.0,0.0,0.0,{}
-1.62593694615909e-05,1.0,0.0,2024-02-21,0.0,1.0,0.0,1.0,0.0,0.0,{}
-0.0022194400182108387,1.0,0.0,2024-02-22,0.0,1.0,0.0,1.0,0.0,0.0,{}
-0.012474435961574493,1.0,0.0,2024-02-23,0.0,1.0,0.0,1.0,0.0,0.0,{}
0.01004125412541268,1.0,0.0,2024-02-26,0.0,1.0,0.0,1.0,0.0,0.0,{}
0.010856335312905863,1.0,0.0,2024-02-27,0.0,1.0,0.0,1.0,0.0,0.0,{}
0.013810547411633456,1.0,0.0,2024-02-28,0.0,1.0,0.0,1.0,0.0,0.0,{}
-0.0014507193814514707,1.0,0.0,2024-02-29,0.0,1.0,0.0,1.0,0.0,0.0,{}
0.004430324172008282,0.0,0.0014977533699450825,2024-03-01,-0.0014977533699450651,1.0,0.0,0.9985022466300549,-0.0014977533699450651,0.9985022466300549,"{""PILOT-HOA-PHAT-COMMON"": 0.25, ""VN000000FPT1"": 0.25, ""VN000000SSI1"": 0.25, ""VN000000VCB4"": 0.25}"
