benchmark_return,cash_fraction,cost,date,drawdown,gross_nav,gross_return,net_nav,net_return,turnover,weights
0.0,0.0,0.0014977533699450825,2024-02-01,-0.0014977533699450651,1.0,0.0,0.9985022466300549,-0.0014977533699450651,0.9985022466300549,"{""VN000000FPT1"": 0.3333333333333333, ""VN000000GAS3"": 0.3333333333333333, ""VN000000VNM8"": 0.3333333333333333}"
-0.0004006751803038444,0.0,0.0,2024-02-02,0.0,1.0051863605056233,0.0051863605056232664,1.0036808392467533,0.0051863605056234885,0.0,"{""VN000000FPT1"": 0.33858338115234754, ""VN000000GAS3"": 0.3302957969456229, ""VN000000VNM8"": 0.33112082190202957}"
0.011521896720822156,0.0,0.0,2024-02-05,0.0,1.0131567226243061,0.007929238230683477,1.011639263728713,0.007929238230683255,0.0,"{""VN000000FPT1"": 0.3408597900437177, ""VN000000GAS3"": 0.32769740614472437, ""VN000000VNM8"": 0.331442803811558}"
0.0020403689526669044,0.0,0.0,2024-02-06,0.0,1.0153903282752732,0.0022046003358509036,1.0138695239892894,0.0022046003358509036,0.0,"{""VN000000FPT1"": 0.3420807252646334, ""VN000000GAS3"": 0.3291505997585516, ""VN000000VNM8"": 0.32876867497681495}"
0.008456179321486124,0.0,0.0,2024-02-07,0.0,1.0180615054417919,0.002630689984073342,1.0165367003912054,0.002630689984073342,0.0,"{""VN000000FPT1"": 0.34380696570756525, ""VN000000GAS3"": 0.32828697849233013, ""VN000000VNM8"": 0.32790605580010457}"
0.00331239101232339,0.0,0.0,2024-02-15,-0.002950626207583018,1.0150575864829041,-0.002950626207582796,1.013537280562061,-0.002950626207583018,0.0,"{""VN000000FPT1"": 0.34186505549217433, ""VN000000GAS3"": 0.3292584972433658, ""VN000000VNM8"": 0.3288764472644599}"
0.0059875259875259434,0.0,0.0,2024-02-16,0.0,1.03455033117507,0.01920358504950115,1.033000829930175,0.01920358504950137,0.0,"{""VN000000FPT1"": 0.3389705750478495, ""VN000000GAS3"": 0.32689549776712024, ""VN000000VNM8"": 0.33413392718503027}"
0.012622964371331813,0.0,0.0,2024-02-19,0.0,1.0555236057612065,0.020272841208522463,1.0539426917236214,0.020272841208522685,0.0,"{""VN000000FPT1"": 0.3319199845173788, ""VN000000GAS3"": 0.33169355319481536, ""VN000000VNM8"": 0.3363864622878059}"
0.0041552038009093906,0.0,0.0,2024-02-20,-0.00701444770709192,1.0481196906249934,-0.00701444770709192,1.0465498658262544,-0.00701444770709192,0.0,"{""VN000000FPT1"": 0.3320335898854443, ""VN000000GAS3"": 0.3310880147120802, ""VN000000VNM8"": 0.33687839540247544}"
-1.62593694615909e-05,0.0,0.0,2024-02-21,-0.006655909592743647,1.048498136068253,0.0003610708267811624,1.046927744451576,0.0003610708267811624,0.0,"{""VN000000FPT1"": 0.337008989988203, ""VN000000GAS3"": 0.32717879585583054, ""VN000000VNM8"": 0.3358122141559664}"
